id,feeder_id,year,month,day,weekday,hour,hr,min,demand
1,FD1212,2012,4,1,N,1.00,1,0,555
2,FD1212,2012,4,1,N,2.00,2,0,547
3,FD1212,2012,4,1,N,3.00,3,0,549
4,FD1212,2012,4,1,N,4.00,4,0,537
5,FD1212,2012,4,1,N,5.00,5,0,519
6,FD1212,2012,4,1,N,6.00,6,0,529
7,FD1212,2012,4,1,N,7.00,7,0,570
8,FD1212,2012,4,1,N,8.00,8,0,578
9,FD1212,2012,4,1,N,9.00,9,0,586
10,FD1212,2012,4,1,N,10.00,10,0,586
11,FD1212,2012,4,1,N,11.00,11,0,593
12,FD1212,2012,4,1,N,12.00,12,0,558
13,FD1212,2012,4,1,N,13.00,13,0,562
14,FD1212,2012,4,1,N,14.00,14,0,564
15,FD1212,2012,4,1,N,15.00,15,0,579
16,FD1212,2012,4,1,N,16.00,16,0,593
17,FD1212,2012,4,1,N,17.00,17,0,593
18,FD1212,2012,4,1,N,18.00,18,0,591
19,FD1212,2012,4,1,N,19.00,19,0,598
20,FD1212,2012,4,1,N,20.00,20,0,652
21,FD1212,2012,4,1,N,21.00,21,0,621
22,FD1212,2012,4,1,N,22.00,22,0,601
23,FD1212,2012,4,1,N,23.00,23,0,584
24,FD1212,2012,4,1,N,0.00,24,0,554
25,FD1212,2012,4,1,N,,,,
26,FD1212,2012,4,2,Y,1.00,1,0,554
27,FD1212,2012,4,2,Y,2.00,2,0,551
28,FD1212,2012,4,2,Y,3.00,3,0,541
29,FD1212,2012,4,2,Y,4.00,4,0,526
30,FD1212,2012,4,2,Y,5.00,5,0,525
31,FD1212,2012,4,2,Y,6.00,6,0,538
32,FD1212,2012,4,2,Y,7.00,7,0,575
33,FD1212,2012,4,2,Y,8.00,8,0,613
34,FD1212,2012,4,2,Y,9.00,9,0,645
35,FD1212,2012,4,2,Y,10.00,10,0,663
36,FD1212,2012,4,2,Y,11.00,11,0,651
37,FD1212,2012,4,2,Y,12.00,12,0,658
38,FD1212,2012,4,2,Y,13.00,13,0,662
39,FD1212,2012,4,2,Y,14.00,14,0,656
40,FD1212,2012,4,2,Y,15.00,15,0,644
41,FD1212,2012,4,2,Y,16.00,16,0,609
42,FD1212,2012,4,2,Y,17.00,17,0,548
43,FD1212,2012,4,2,Y,18.00,18,0,497
44,FD1212,2012,4,2,Y,19.00,19,0,567
45,FD1212,2012,4,2,Y,20.00,20,0,647
46,FD1212,2012,4,2,Y,21.00,21,0,624
47,FD1212,2012,4,2,Y,22.00,22,0,545
48,FD1212,2012,4,2,Y,23.00,23,0,538
49,FD1212,2012,4,2,Y,0.00,24,0,509
50,FD1212,2012,4,2,Y,,,,
51,FD1212,2012,4,3,Y,1.00,1,0,539
52,FD1212,2012,4,3,Y,2.00,2,0,527
53,FD1212,2012,4,3,Y,3.00,3,0,515
54,FD1212,2012,4,3,Y,4.00,4,0,494
55,FD1212,2012,4,3,Y,5.00,5,0,494
56,FD1212,2012,4,3,Y,6.00,6,0,519
57,FD1212,2012,4,3,Y,7.00,7,0,539
58,FD1212,2012,4,3,Y,8.00,8,0,551
59,FD1212,2012,4,3,Y,9.00,9,0,580
60,FD1212,2012,4,3,Y,10.00,10,0,551
61,FD1212,2012,4,3,Y,11.00,11,0,562
62,FD1212,2012,4,3,Y,12.00,12,0,575
63,FD1212,2012,4,3,Y,13.00,13,0,590
64,FD1212,2012,4,3,Y,14.00,14,0,580
65,FD1212,2012,4,3,Y,15.00,15,0,548
66,FD1212,2012,4,3,Y,16.00,16,0,498
67,FD1212,2012,4,3,Y,17.00,17,0,571
68,FD1212,2012,4,3,Y,18.00,18,0,610
69,FD1212,2012,4,3,Y,19.00,19,0,653
70,FD1212,2012,4,3,Y,20.00,20,0,678
71,FD1212,2012,4,3,Y,21.00,21,0,669
72,FD1212,2012,4,3,Y,22.00,22,0,637
73,FD1212,2012,4,3,Y,23.00,23,0,645
74,FD1212,2012,4,3,Y,0.00,24,0,595
75,FD1212,2012,4,3,Y,,,,
76,FD1212,2012,4,4,Y,1.00,1,0,592
77,FD1212,2012,4,4,Y,2.00,2,0,580
78,FD1212,2012,4,4,Y,3.00,3,0,567
79,FD1212,2012,4,4,Y,4.00,4,0,565
80,FD1212,2012,4,4,Y,5.00,5,0,557
81,FD1212,2012,4,4,Y,6.00,6,0,582
82,FD1212,2012,4,4,Y,7.00,7,0,608
83,FD1212,2012,4,4,Y,8.00,8,0,646
84,FD1212,2012,4,4,Y,9.00,9,0,668
85,FD1212,2012,4,4,Y,10.00,10,0,629
86,FD1212,2012,4,4,Y,11.00,11,0,590
87,FD1212,2012,4,4,Y,12.00,12,0,621
88,FD1212,2012,4,4,Y,13.00,13,0,603
89,FD1212,2012,4,4,Y,14.00,14,0,630
90,FD1212,2012,4,4,Y,15.00,15,0,633
91,FD1212,2012,4,4,Y,16.00,16,0,655
92,FD1212,2012,4,4,Y,17.00,17,0,646
93,FD1212,2012,4,4,Y,18.00,18,0,658
94,FD1212,2012,4,4,Y,19.00,19,0,670
95,FD1212,2012,4,4,Y,20.00,20,0,704
96,FD1212,2012,4,4,Y,21.00,21,0,676
97,FD1212,2012,4,4,Y,22.00,22,0,635
98,FD1212,2012,4,4,Y,23.00,23,0,620
99,FD1212,2012,4,4,Y,0.00,24,0,588
100,FD1212,2012,4,4,Y,,,,
101,FD1212,2012,4,5,Y,1.00,1,0,570
102,FD1212,2012,4,5,Y,2.00,2,0,561
103,FD1212,2012,4,5,Y,3.00,3,0,558
104,FD1212,2012,4,5,Y,4.00,4,0,542
105,FD1212,2012,4,5,Y,5.00,5,0,541
106,FD1212,2012,4,5,Y,6.00,6,0,572
107,FD1212,2012,4,5,Y,7.00,7,0,585
108,FD1212,2012,4,5,Y,8.00,8,0,616
109,FD1212,2012,4,5,Y,9.00,9,0,652
110,FD1212,2012,4,5,Y,10.00,10,0,674
111,FD1212,2012,4,5,Y,11.00,11,0,690
112,FD1212,2012,4,5,Y,12.00,12,0,678
113,FD1212,2012,4,5,Y,13.00,13,0,646
114,FD1212,2012,4,5,Y,14.00,14,0,644
115,FD1212,2012,4,5,Y,15.00,15,0,652
116,FD1212,2012,4,5,Y,16.00,16,0,577
117,FD1212,2012,4,5,Y,17.00,17,0,638
118,FD1212,2012,4,5,Y,18.00,18,0,648
119,FD1212,2012,4,5,Y,19.00,19,0,668
120,FD1212,2012,4,5,Y,20.00,20,0,710
121,FD1212,2012,4,5,Y,21.00,21,0,710
122,FD1212,2012,4,5,Y,22.00,22,0,681
123,FD1212,2012,4,5,Y,23.00,23,0,662
124,FD1212,2012,4,5,Y,0.00,24,0,625
125,FD1212,2012,4,5,Y,,,,
126,FD1212,2012,4,6,Y,1.00,1,0,609
127,FD1212,2012,4,6,Y,2.00,2,0,591
128,FD1212,2012,4,6,Y,3.00,3,0,576
129,FD1212,2012,4,6,Y,4.00,4,0,577
130,FD1212,2012,4,6,Y,5.00,5,0,569
131,FD1212,2012,4,6,Y,6.00,6,0,603
132,FD1212,2012,4,6,Y,7.00,7,0,630
133,FD1212,2012,4,6,Y,8.00,8,0,661
134,FD1212,2012,4,6,Y,9.00,9,0,679
135,FD1212,2012,4,6,Y,10.00,10,0,686
136,FD1212,2012,4,6,Y,11.00,11,0,641
137,FD1212,2012,4,6,Y,12.00,12,0,651
138,FD1212,2012,4,6,Y,13.00,13,0,653
139,FD1212,2012,4,6,Y,14.00,14,0,663
140,FD1212,2012,4,6,Y,15.00,15,0,670
141,FD1212,2012,4,6,Y,16.00,16,0,668
142,FD1212,2012,4,6,Y,17.00,17,0,669
143,FD1212,2012,4,6,Y,18.00,18,0,620
144,FD1212,2012,4,6,Y,19.00,19,0,643
145,FD1212,2012,4,6,Y,20.00,20,0,680
146,FD1212,2012,4,6,Y,21.00,21,0,662
147,FD1212,2012,4,6,Y,22.00,22,0,649
148,FD1212,2012,4,6,Y,23.00,23,0,629
149,FD1212,2012,4,6,Y,0.00,24,0,599
150,FD1212,2012,4,6,Y,,,,
151,FD1212,2012,4,7,Y,1.00,1,0,589
152,FD1212,2012,4,7,Y,2.00,2,0,575
153,FD1212,2012,4,7,Y,3.00,3,0,561
154,FD1212,2012,4,7,Y,4.00,4,0,558
155,FD1212,2012,4,7,Y,5.00,5,0,543
156,FD1212,2012,4,7,Y,6.00,6,0,575
157,FD1212,2012,4,7,Y,7.00,7,0,600
158,FD1212,2012,4,7,Y,8.00,8,0,637
159,FD1212,2012,4,7,Y,9.00,9,0,
160,FD1212,2012,4,7,Y,10.00,10,0,
161,FD1212,2012,4,7,Y,11.00,11,0,677
162,FD1212,2012,4,7,Y,12.00,12,0,686
163,FD1212,2012,4,7,Y,13.00,13,0,664
164,FD1212,2012,4,7,Y,14.00,14,0,668
165,FD1212,2012,4,7,Y,15.00,15,0,648
166,FD1212,2012,4,7,Y,16.00,16,0,583
167,FD1212,2012,4,7,Y,17.00,17,0,546
168,FD1212,2012,4,7,Y,18.00,18,0,561
169,FD1212,2012,4,7,Y,19.00,19,0,589
170,FD1212,2012,4,7,Y,20.00,20,0,656
171,FD1212,2012,4,7,Y,21.00,21,0,640
172,FD1212,2012,4,7,Y,22.00,22,0,631
173,FD1212,2012,4,7,Y,23.00,23,0,613
174,FD1212,2012,4,7,Y,0.00,24,0,591
175,FD1212,2012,4,7,Y,,,,
176,FD1212,2012,4,8,N,1.00,1,0,482
177,FD1212,2012,4,8,N,2.00,2,0,446
178,FD1212,2012,4,8,N,3.00,3,0,435
179,FD1212,2012,4,8,N,4.00,4,0,434
180,FD1212,2012,4,8,N,5.00,5,0,435
181,FD1212,2012,4,8,N,6.00,6,0,454
182,FD1212,2012,4,8,N,7.00,7,0,485
183,FD1212,2012,4,8,N,8.00,8,0,481
184,FD1212,2012,4,8,N,9.00,9,0,494
185,FD1212,2012,4,8,N,10.00,10,0,592
186,FD1212,2012,4,8,N,11.00,11,0,604
187,FD1212,2012,4,8,N,12.00,12,0,597
188,FD1212,2012,4,8,N,13.00,13,0,594
189,FD1212,2012,4,8,N,14.00,14,0,590
190,FD1212,2012,4,8,N,15.00,15,0,575
191,FD1212,2012,4,8,N,16.00,16,0,546
192,FD1212,2012,4,8,N,17.00,17,0,502
193,FD1212,2012,4,8,N,18.00,18,0,481
194,FD1212,2012,4,8,N,19.00,19,0,475
195,FD1212,2012,4,8,N,20.00,20,0,527
196,FD1212,2012,4,8,N,21.00,21,0,537
197,FD1212,2012,4,8,N,22.00,22,0,522
198,FD1212,2012,4,8,N,23.00,23,0,504
199,FD1212,2012,4,8,N,0.00,24,0,480
200,FD1212,2012,4,8,N,,,,
201,FD1212,2012,4,9,Y,1.00,1,0,464
202,FD1212,2012,4,9,Y,2.00,2,0,457
203,FD1212,2012,4,9,Y,3.00,3,0,453
204,FD1212,2012,4,9,Y,4.00,4,0,446
205,FD1212,2012,4,9,Y,5.00,5,0,456
206,FD1212,2012,4,9,Y,6.00,6,0,483
207,FD1212,2012,4,9,Y,7.00,7,0,514
208,FD1212,2012,4,9,Y,8.00,8,0,541
209,FD1212,2012,4,9,Y,9.00,9,0,576
210,FD1212,2012,4,9,Y,10.00,10,0,599
211,FD1212,2012,4,9,Y,11.00,11,0,606
212,FD1212,2012,4,9,Y,12.00,12,0,627
213,FD1212,2012,4,9,Y,13.00,13,0,617
214,FD1212,2012,4,9,Y,14.00,14,0,611
215,FD1212,2012,4,9,Y,15.00,15,0,605
216,FD1212,2012,4,9,Y,16.00,16,0,615
217,FD1212,2012,4,9,Y,17.00,17,0,587
218,FD1212,2012,4,9,Y,18.00,18,0,573
219,FD1212,2012,4,9,Y,19.00,19,0,601
220,FD1212,2012,4,9,Y,20.00,20,0,661
221,FD1212,2012,4,9,Y,21.00,21,0,654
222,FD1212,2012,4,9,Y,22.00,22,0,629
223,FD1212,2012,4,9,Y,23.00,23,0,584
224,FD1212,2012,4,9,Y,0.00,24,0,535
225,FD1212,2012,4,9,Y,,,,
226,FD1212,2012,4,10,Y,1.00,1,0,521
227,FD1212,2012,4,10,Y,2.00,2,0,497
228,FD1212,2012,4,10,Y,3.00,3,0,501
229,FD1212,2012,4,10,Y,4.00,4,0,483
230,FD1212,2012,4,10,Y,5.00,5,0,500
231,FD1212,2012,4,10,Y,6.00,6,0,527
232,FD1212,2012,4,10,Y,7.00,7,0,556
233,FD1212,2012,4,10,Y,8.00,8,0,579
234,FD1212,2012,4,10,Y,9.00,9,0,613
235,FD1212,2012,4,10,Y,10.00,10,0,626
236,FD1212,2012,4,10,Y,11.00,11,0,597
237,FD1212,2012,4,10,Y,12.00,12,0,598
238,FD1212,2012,4,10,Y,13.00,13,0,571
239,FD1212,2012,4,10,Y,14.00,14,0,585
240,FD1212,2012,4,10,Y,15.00,15,0,593
241,FD1212,2012,4,10,Y,16.00,16,0,582
242,FD1212,2012,4,10,Y,17.00,17,0,592
243,FD1212,2012,4,10,Y,18.00,18,0,595
244,FD1212,2012,4,10,Y,19.00,19,0,635
245,FD1212,2012,4,10,Y,20.00,20,0,688
246,FD1212,2012,4,10,Y,21.00,21,0,672
247,FD1212,2012,4,10,Y,22.00,22,0,650
248,FD1212,2012,4,10,Y,23.00,23,0,624
249,FD1212,2012,4,10,Y,0.00,24,0,588
250,FD1212,2012,4,10,Y,,,,
251,FD1212,2012,4,11,Y,1.00,1,0,573
252,FD1212,2012,4,11,Y,2.00,2,0,547
253,FD1212,2012,4,11,Y,3.00,3,0,523
254,FD1212,2012,4,11,Y,4.00,4,0,498
255,FD1212,2012,4,11,Y,5.00,5,0,463
256,FD1212,2012,4,11,Y,6.00,6,0,479
257,FD1212,2012,4,11,Y,7.00,7,0,497
258,FD1212,2012,4,11,Y,8.00,8,0,552
259,FD1212,2012,4,11,Y,9.00,9,0,589
260,FD1212,2012,4,11,Y,10.00,10,0,627
261,FD1212,2012,4,11,Y,11.00,11,0,591
262,FD1212,2012,4,11,Y,12.00,12,0,611
263,FD1212,2012,4,11,Y,13.00,13,0,615
264,FD1212,2012,4,11,Y,14.00,14,0,615
265,FD1212,2012,4,11,Y,15.00,15,0,622
266,FD1212,2012,4,11,Y,16.00,16,0,600
267,FD1212,2012,4,11,Y,17.00,17,0,608
268,FD1212,2012,4,11,Y,18.00,18,0,589
269,FD1212,2012,4,11,Y,19.00,19,0,600
270,FD1212,2012,4,11,Y,20.00,20,0,644
271,FD1212,2012,4,11,Y,21.00,21,0,653
272,FD1212,2012,4,11,Y,22.00,22,0,616
273,FD1212,2012,4,11,Y,23.00,23,0,571
274,FD1212,2012,4,11,Y,0.00,24,0,539
275,FD1212,2012,4,11,Y,,,,
276,FD1212,2012,4,12,Y,1.00,1,0,523
277,FD1212,2012,4,12,Y,2.00,2,0,505
278,FD1212,2012,4,12,Y,3.00,3,0,510
279,FD1212,2012,4,12,Y,4.00,4,0,500
280,FD1212,2012,4,12,Y,5.00,5,0,496
281,FD1212,2012,4,12,Y,6.00,6,0,524
282,FD1212,2012,4,12,Y,7.00,7,0,584
283,FD1212,2012,4,12,Y,8.00,8,0,602
284,FD1212,2012,4,12,Y,9.00,9,0,621
285,FD1212,2012,4,12,Y,10.00,10,0,651
286,FD1212,2012,4,12,Y,11.00,11,0,637
287,FD1212,2012,4,12,Y,12.00,12,0,643
288,FD1212,2012,4,12,Y,13.00,13,0,636
289,FD1212,2012,4,12,Y,14.00,14,0,630
290,FD1212,2012,4,12,Y,15.00,15,0,641
291,FD1212,2012,4,12,Y,16.00,16,0,653
292,FD1212,2012,4,12,Y,17.00,17,0,663
293,FD1212,2012,4,12,Y,18.00,18,0,657
294,FD1212,2012,4,12,Y,19.00,19,0,644
295,FD1212,2012,4,12,Y,20.00,20,0,670
296,FD1212,2012,4,12,Y,21.00,21,0,668
297,FD1212,2012,4,12,Y,22.00,22,0,635
298,FD1212,2012,4,12,Y,23.00,23,0,609
299,FD1212,2012,4,12,Y,0.00,24,0,578
300,FD1212,2012,4,12,Y,,,,
301,FD1212,2012,4,13,Y,1.00,1,0,560
302,FD1212,2012,4,13,Y,2.00,2,0,544
303,FD1212,2012,4,13,Y,3.00,3,0,540
304,FD1212,2012,4,13,Y,4.00,4,0,539
305,FD1212,2012,4,13,Y,5.00,5,0,535
306,FD1212,2012,4,13,Y,6.00,6,0,573
307,FD1212,2012,4,13,Y,7.00,7,0,603
308,FD1212,2012,4,13,Y,8.00,8,0,636
309,FD1212,2012,4,13,Y,9.00,9,0,646
310,FD1212,2012,4,13,Y,10.00,10,0,674
311,FD1212,2012,4,13,Y,11.00,11,0,653
312,FD1212,2012,4,13,Y,12.00,12,0,669
313,FD1212,2012,4,13,Y,13.00,13,0,654
314,FD1212,2012,4,13,Y,14.00,14,0,620
315,FD1212,2012,4,13,Y,15.00,15,0,631
316,FD1212,2012,4,13,Y,16.00,16,0,665
317,FD1212,2012,4,13,Y,17.00,17,0,652
318,FD1212,2012,4,13,Y,18.00,18,0,620
319,FD1212,2012,4,13,Y,19.00,19,0,622
320,FD1212,2012,4,13,Y,20.00,20,0,665
321,FD1212,2012,4,13,Y,21.00,21,0,660
322,FD1212,2012,4,13,Y,22.00,22,0,630
323,FD1212,2012,4,13,Y,23.00,23,0,606
324,FD1212,2012,4,13,Y,0.00,24,0,575
325,FD1212,2012,4,13,Y,,,,
326,FD1212,2012,4,14,Y,1.00,1,0,568
327,FD1212,2012,4,14,Y,2.00,2,0,555
328,FD1212,2012,4,14,Y,3.00,3,0,537
329,FD1212,2012,4,14,Y,4.00,4,0,531
330,FD1212,2012,4,14,Y,5.00,5,0,529
331,FD1212,2012,4,14,Y,6.00,6,0,563
332,FD1212,2012,4,14,Y,7.00,7,0,604
333,FD1212,2012,4,14,Y,8.00,8,0,626
334,FD1212,2012,4,14,Y,9.00,9,0,645
335,FD1212,2012,4,14,Y,10.00,10,0,657
336,FD1212,2012,4,14,Y,11.00,11,0,662
337,FD1212,2012,4,14,Y,12.00,12,0,664
338,FD1212,2012,4,14,Y,13.00,13,0,652
339,FD1212,2012,4,14,Y,14.00,14,0,650
340,FD1212,2012,4,14,Y,15.00,15,0,646
341,FD1212,2012,4,14,Y,16.00,16,0,655
342,FD1212,2012,4,14,Y,17.00,17,0,651
343,FD1212,2012,4,14,Y,18.00,18,0,629
344,FD1212,2012,4,14,Y,19.00,19,0,592
345,FD1212,2012,4,14,Y,20.00,20,0,662
346,FD1212,2012,4,14,Y,21.00,21,0,654
347,FD1212,2012,4,14,Y,22.00,22,0,631
348,FD1212,2012,4,14,Y,23.00,23,0,612
349,FD1212,2012,4,14,Y,0.00,24,0,582
350,FD1212,2012,4,14,Y,,,,
351,FD1212,2012,4,15,N,1.00,1,0,562
352,FD1212,2012,4,15,N,2.00,2,0,539
353,FD1212,2012,4,15,N,3.00,3,0,522
354,FD1212,2012,4,15,N,4.00,4,0,524
355,FD1212,2012,4,15,N,5.00,5,0,514
356,FD1212,2012,4,15,N,6.00,6,0,548
357,FD1212,2012,4,15,N,7.00,7,0,582
358,FD1212,2012,4,15,N,8.00,8,0,606
359,FD1212,2012,4,15,N,9.00,9,0,620
360,FD1212,2012,4,15,N,10.00,10,0,629
361,FD1212,2012,4,15,N,11.00,11,0,616
362,FD1212,2012,4,15,N,12.00,12,0,608
363,FD1212,2012,4,15,N,13.00,13,0,602
364,FD1212,2012,4,15,N,14.00,14,0,597
365,FD1212,2012,4,15,N,15.00,15,0,600
366,FD1212,2012,4,15,N,16.00,16,0,619
367,FD1212,2012,4,15,N,17.00,17,0,622
368,FD1212,2012,4,15,N,18.00,18,0,619
369,FD1212,2012,4,15,N,19.00,19,0,608
370,FD1212,2012,4,15,N,20.00,20,0,639
371,FD1212,2012,4,15,N,21.00,21,0,647
372,FD1212,2012,4,15,N,22.00,22,0,621
373,FD1212,2012,4,15,N,23.00,23,0,603
374,FD1212,2012,4,15,N,0.00,24,0,577
375,FD1212,2012,4,15,N,,,,
376,FD1212,2012,4,16,Y,1.00,1,0,569
377,FD1212,2012,4,16,Y,2.00,2,0,554
378,FD1212,2012,4,16,Y,3.00,3,0,540
379,FD1212,2012,4,16,Y,4.00,4,0,525
380,FD1212,2012,4,16,Y,5.00,5,0,524
381,FD1212,2012,4,16,Y,6.00,6,0,557
382,FD1212,2012,4,16,Y,7.00,7,0,618
383,FD1212,2012,4,16,Y,8.00,8,0,660
384,FD1212,2012,4,16,Y,9.00,9,0,681
385,FD1212,2012,4,16,Y,10.00,10,0,667
386,FD1212,2012,4,16,Y,11.00,11,0,624
387,FD1212,2012,4,16,Y,12.00,12,0,630
388,FD1212,2012,4,16,Y,13.00,13,0,616
389,FD1212,2012,4,16,Y,14.00,14,0,616
390,FD1212,2012,4,16,Y,15.00,15,0,616
391,FD1212,2012,4,16,Y,16.00,16,0,612
392,FD1212,2012,4,16,Y,17.00,17,0,535
393,FD1212,2012,4,16,Y,18.00,18,0,637
394,FD1212,2012,4,16,Y,19.00,19,0,623
395,FD1212,2012,4,16,Y,20.00,20,0,669
396,FD1212,2012,4,16,Y,21.00,21,0,678
397,FD1212,2012,4,16,Y,22.00,22,0,650
398,FD1212,2012,4,16,Y,23.00,23,0,631
399,FD1212,2012,4,16,Y,0.00,24,0,585
400,FD1212,2012,4,16,Y,,,,
401,FD1212,2012,4,17,Y,1.00,1,0,576
402,FD1212,2012,4,17,Y,2.00,2,0,560
403,FD1212,2012,4,17,Y,3.00,3,0,549
404,FD1212,2012,4,17,Y,4.00,4,0,541
405,FD1212,2012,4,17,Y,5.00,5,0,535
406,FD1212,2012,4,17,Y,6.00,6,0,563
407,FD1212,2012,4,17,Y,7.00,7,0,619
408,FD1212,2012,4,17,Y,8.00,8,0,661
409,FD1212,2012,4,17,Y,9.00,9,0,686
410,FD1212,2012,4,17,Y,10.00,10,0,650
411,FD1212,2012,4,17,Y,11.00,11,0,603
412,FD1212,2012,4,17,Y,12.00,12,0,605
413,FD1212,2012,4,17,Y,13.00,13,0,595
414,FD1212,2012,4,17,Y,14.00,14,0,580
415,FD1212,2012,4,17,Y,15.00,15,0,606
416,FD1212,2012,4,17,Y,16.00,16,0,630
417,FD1212,2012,4,17,Y,17.00,17,0,601
418,FD1212,2012,4,17,Y,18.00,18,0,588
419,FD1212,2012,4,17,Y,19.00,19,0,616
420,FD1212,2012,4,17,Y,20.00,20,0,669
421,FD1212,2012,4,17,Y,21.00,21,0,659
422,FD1212,2012,4,17,Y,22.00,22,0,650
423,FD1212,2012,4,17,Y,23.00,23,0,642
424,FD1212,2012,4,17,Y,0.00,24,0,600
425,FD1212,2012,4,17,Y,,,,
426,FD1212,2012,4,18,Y,1.00,1,0,581
427,FD1212,2012,4,18,Y,2.00,2,0,552
428,FD1212,2012,4,18,Y,3.00,3,0,455
429,FD1212,2012,4,18,Y,4.00,4,0,440
430,FD1212,2012,4,18,Y,5.00,5,0,451
431,FD1212,2012,4,18,Y,6.00,6,0,487
432,FD1212,2012,4,18,Y,7.00,7,0,551
433,FD1212,2012,4,18,Y,8.00,8,0,597
434,FD1212,2012,4,18,Y,9.00,9,0,629
435,FD1212,2012,4,18,Y,10.00,10,0,625
436,FD1212,2012,4,18,Y,11.00,11,0,634
437,FD1212,2012,4,18,Y,12.00,12,0,645
438,FD1212,2012,4,18,Y,13.00,13,0,658
439,FD1212,2012,4,18,Y,14.00,14,0,653
440,FD1212,2012,4,18,Y,15.00,15,0,564
441,FD1212,2012,4,18,Y,16.00,16,0,560
442,FD1212,2012,4,18,Y,17.00,17,0,486
443,FD1212,2012,4,18,Y,18.00,18,0,317
444,FD1212,2012,4,18,Y,19.00,19,0,268
445,FD1212,2012,4,18,Y,20.00,20,0,392
446,FD1212,2012,4,18,Y,21.00,21,0,415
447,FD1212,2012,4,18,Y,22.00,22,0,415
448,FD1212,2012,4,18,Y,23.00,23,0,408
449,FD1212,2012,4,18,Y,0.00,24,0,389
450,FD1212,2012,4,18,Y,,,,
451,FD1212,2012,4,19,Y,1.00,1,0,375
452,FD1212,2012,4,19,Y,2.00,2,0,358
453,FD1212,2012,4,19,Y,3.00,3,0,332
454,FD1212,2012,4,19,Y,4.00,4,0,340
455,FD1212,2012,4,19,Y,5.00,5,0,338
456,FD1212,2012,4,19,Y,6.00,6,0,364
457,FD1212,2012,4,19,Y,7.00,7,0,392
458,FD1212,2012,4,19,Y,8.00,8,0,428
459,FD1212,2012,4,19,Y,9.00,9,0,454
460,FD1212,2012,4,19,Y,10.00,10,0,484
461,FD1212,2012,4,19,Y,11.00,11,0,485
462,FD1212,2012,4,19,Y,12.00,12,0,507
463,FD1212,2012,4,19,Y,13.00,13,0,501
464,FD1212,2012,4,19,Y,14.00,14,0,530
465,FD1212,2012,4,19,Y,15.00,15,0,548
466,FD1212,2012,4,19,Y,16.00,16,0,556
467,FD1212,2012,4,19,Y,17.00,17,0,547
468,FD1212,2012,4,19,Y,18.00,18,0,543
469,FD1212,2012,4,19,Y,19.00,19,0,580
470,FD1212,2012,4,19,Y,20.00,20,0,646
471,FD1212,2012,4,19,Y,21.00,21,0,637
472,FD1212,2012,4,19,Y,22.00,22,0,615
473,FD1212,2012,4,19,Y,23.00,23,0,563
474,FD1212,2012,4,19,Y,0.00,24,0,517
475,FD1212,2012,4,19,Y,,,,
476,FD1212,2012,4,20,Y,1.00,1,0,491
477,FD1212,2012,4,20,Y,2.00,2,0,480
478,FD1212,2012,4,20,Y,3.00,3,0,467
479,FD1212,2012,4,20,Y,4.00,4,0,449
480,FD1212,2012,4,20,Y,5.00,5,0,453
481,FD1212,2012,4,20,Y,6.00,6,0,487
482,FD1212,2012,4,20,Y,7.00,7,0,522
483,FD1212,2012,4,20,Y,8.00,8,0,562
484,FD1212,2012,4,20,Y,9.00,9,0,593
485,FD1212,2012,4,20,Y,10.00,10,0,612
486,FD1212,2012,4,20,Y,11.00,11,0,523
487,FD1212,2012,4,20,Y,12.00,12,0,528
488,FD1212,2012,4,20,Y,13.00,13,0,512
489,FD1212,2012,4,20,Y,14.00,14,0,509
490,FD1212,2012,4,20,Y,15.00,15,0,525
491,FD1212,2012,4,20,Y,16.00,16,0,536
492,FD1212,2012,4,20,Y,17.00,17,0,565
493,FD1212,2012,4,20,Y,18.00,18,0,571
494,FD1212,2012,4,20,Y,19.00,19,0,575
495,FD1212,2012,4,20,Y,20.00,20,0,662
496,FD1212,2012,4,20,Y,21.00,21,0,664
497,FD1212,2012,4,20,Y,22.00,22,0,614
498,FD1212,2012,4,20,Y,23.00,23,0,563
499,FD1212,2012,4,20,Y,0.00,24,0,514
500,FD1212,2012,4,20,Y,,,,
501,FD1212,2012,4,21,Y,1.00,1,0,473
502,FD1212,2012,4,21,Y,2.00,2,0,399
503,FD1212,2012,4,21,Y,3.00,3,0,313
504,FD1212,2012,4,21,Y,4.00,4,0,304
505,FD1212,2012,4,21,Y,5.00,5,0,305
506,FD1212,2012,4,21,Y,6.00,6,0,333
507,FD1212,2012,4,21,Y,7.00,7,0,373
508,FD1212,2012,4,21,Y,8.00,8,0,414
509,FD1212,2012,4,21,Y,9.00,9,0,447
510,FD1212,2012,4,21,Y,10.00,10,0,472
511,FD1212,2012,4,21,Y,11.00,11,0,487
512,FD1212,2012,4,21,Y,12.00,12,0,491
513,FD1212,2012,4,21,Y,13.00,13,0,494
514,FD1212,2012,4,21,Y,14.00,14,0,521
515,FD1212,2012,4,21,Y,15.00,15,0,564
516,FD1212,2012,4,21,Y,16.00,16,0,568
517,FD1212,2012,4,21,Y,17.00,17,0,573
518,FD1212,2012,4,21,Y,18.00,18,0,568
519,FD1212,2012,4,21,Y,19.00,19,0,594
520,FD1212,2012,4,21,Y,20.00,20,0,657
521,FD1212,2012,4,21,Y,21.00,21,0,654
522,FD1212,2012,4,21,Y,22.00,22,0,625
523,FD1212,2012,4,21,Y,23.00,23,0,590
524,FD1212,2012,4,21,Y,0.00,24,0,542
